"","mouse","human"
"98","Abi2","ABI2"
"99","Abi3","ABI3"
"100","Abi3bp","ABI3BP"
"101","Abl1","ABL1"
"102","Abl2","ABL2"
"103","Ablim1","ABLIM1"
"104","Ablim2","ABLIM2"
"105","Ablim3","ABLIM3"
"106","Abo","ABO"
"107","Abr","ABR"
"108","Abra","ABRA"
"109","Abracl","ABRACL"
"110","Abraxas1","ABRAXAS1"
"111","Abraxas2","ABRAXAS2"
"112","Abt1","ABT1"
"113","Abtb1","ABTB1"
"114","Abtb2","ABTB2"
"115","Acaa1a","ACAA1"
"116","Acaa1b","ACAA1"
"117","Acaa2","ACAA2"
"118","Acaca","ACACA"
"119","Acacb","ACACB"
"120","Acad10","ACAD10"
"121","Acad11","ACAD11"
"122","Acad8","ACAD8"
"123","Acad9","ACAD9"
"124","Acadl","ACADL"
"125","Acadm","ACADM"
"126","Acads","ACADS"
"127","Acadsb","ACADSB"
"128","Acadvl","ACADVL"
"129","Acan","ACAN"
"130","Acap1","ACAP1"
"131","Acap2","ACAP2"
"132","Acap3","ACAP3"
"133","Acat1","ACAT1"
"134","Acat2","ACAT2"
"135","Acat3","ACAT2"
"136","Acbd3","ACBD3"
"137","Acbd4","ACBD4"
"138","Acbd5","ACBD5"
"139","Acbd6","ACBD6"
"140","Acbd7","ACBD7"
"141","Accs","ACCS"
"142","Accsl","ACCSL"
"143","Acd","ACD"
"144","Ace","ACE"
"145","Ace2","ACE2"
"146","Ace3","ACE3P"
"147","Acer1","ACER1"
"148","Acer2","ACER2"
"149","Acer3","ACER3"
"150","Ache","ACHE"
"151","Acin1","ACIN1"
"152","Ackr1","ACKR1"
"153","Ackr2","ACKR2"
"154","Ackr3","ACKR3"
"155","Ackr4","ACKR4"
"156","Acly","ACLY"
"157","Acmsd","ACMSD"
"158","Aco1","ACO1"
"159","Aco2","ACO2"
"160","Acod1","ACOD1"
"161","Acot1","ACOT1"
"162","Acot11","ACOT11"
"163","Acot12","ACOT12"
"164","Acot13","ACOT13"
"165","Acot2","ACOT2"
"166","Acot4","ACOT4"
"167","Acot6","ACOT6"
"168","Acot7","ACOT7"
"169","Acot8","ACOT8"
"170","Acot9","ACOT9"
"171","Acox1","ACOX1"
"172","Acox2","ACOX2"
"173","Acox3","ACOX3"
"174","Acoxl","ACOXL"
"175","Acp1","ACP1"
"176","Acp2","ACP2"
"177","Acp4","ACP4"
"178","Acp5","ACP5"
"179","Acp6","ACP6"
"180","Acp7","ACP7"
"181","Acpp","ACPP"
"182","Acr","ACR"
"183","Acrbp","ACRBP"
"184","Acrv1","ACRV1"
"185","Acsbg1","ACSBG1"
"186","Acsbg2","ACSBG2"
"187","Acsf2","ACSF2"
"188","Acsf3","ACSF3"
"189","Acsl1","ACSL1"
"190","Acsl3","ACSL3"
"191","Acsl4","ACSL4"
"192","Acsl5","ACSL5"
"193","Acsl6","ACSL6"
"194","Acsm1","ACSM1"
"195","Acsm2","ACSM2A"
"196","Acsm2","ACSM2B"
"197","Acsm3","ACSM3"
"198","Acsm4","ACSM4"
"199","Acsm5","ACSM5"
"200","Acss1","ACSS1"
"201","Acss2","ACSS2"
"202","Acss3","ACSS3"
"203","Acta1","ACTA1"
"204","Acta2","ACTA2"
"205","Actb","ACTB"
"206","Actbl2","ACTBL2"
"207","Actc1","ACTC1"
"208","Actg1","ACTG1"
"209","Actg2","ACTG2"
"210","Actl10","ACTL10"
"211","Actl6a","ACTL6A"
"212","Actl6b","ACTL6B"
"213","Actl7a","ACTL7A"
"214","Actl7b","ACTL7B"
"215","Actl9","ACTL9"
"216","Actn1","ACTN1"
"217","Actn2","ACTN2"
"218","Actn3","ACTN3"
"219","Actn4","ACTN4"
"220","Actr10","ACTR10"
"221","Actr1a","ACTR1A"
"222","Actr1b","ACTR1B"
"223","Actr2","ACTR2"
"224","Actr3","ACTR3"
"225","Actr3b","ACTR3B"
"226","Actr5","ACTR5"
"227","Actr6","ACTR6"
"228","Actr8","ACTR8"
"229","Actrt1","ACTRT1"
"230","Actrt2","ACTRT2"
"231","Actrt3","ACTRT3"
"232","Acvr1","ACVR1"
"233","Acvr1b","ACVR1B"
"234","Acvr1c","ACVR1C"
"235","Acvr2a","ACVR2A"
"236","Acvr2b","ACVR2B"
"237","Acvrl1","ACVRL1"
"238","Acy1","ACY1"
"239","Acy3","ACY3"
"240","Acyp1","ACYP1"
"241","Acyp2","ACYP2"
"242","Ada","ADA"
"243","Adad1","ADAD1"
"244","Adad2","ADAD2"
"245","Adal","ADAL"
"246","Adam10","ADAM10"
"247","Adam11","ADAM11"
"248","Adam12","ADAM12"
"249","Adam15","ADAM15"
"250","Adam17","ADAM17"
"251","Adam18","ADAM18"
"252","Adam19","ADAM19"
"253","Adam1a","ADAM1A"
"254","Adam1b","ADAM1B"
"255","Adam2","ADAM2"
"256","Adam20","ADAM20"
"257","Adam25","ADAM20"
"258","Adam39","ADAM20"
"259","Adam21","ADAM21"
"260","Adam22","ADAM22"
"261","Adam23","ADAM23"
"262","Adam24","ADAM24P"
"263","Adam28","ADAM28"
"264","Adam29","ADAM29"
"265","Adam30","ADAM30"
"266","Adam32","ADAM32"
"267","Adam33","ADAM33"
"268","Adam3","ADAM3A"
"269","Adam5","ADAM5"
"270","Adam6a","ADAM6"
"271","Adam7","ADAM7"
"272","Adam8","ADAM8"
"273","Adam9","ADAM9"
"274","Adamdec1","ADAMDEC1"
"275","Adamts1","ADAMTS1"
"276","Adamts10","ADAMTS10"
"277","Adamts12","ADAMTS12"
"278","Adamts13","ADAMTS13"
"279","Adamts14","ADAMTS14"
"280","Adamts15","ADAMTS15"
"281","Adamts16","ADAMTS16"
"282","Adamts17","ADAMTS17"
"283","Adamts18","ADAMTS18"
"284","Adamts19","ADAMTS19"
"285","Adamts2","ADAMTS2"
"286","Adamts20","ADAMTS20"
"287","Adamts3","ADAMTS3"
"288","Adamts4","ADAMTS4"
"289","Adamts5","ADAMTS5"
"290","Adamts6","ADAMTS6"
"291","Adamts7","ADAMTS7"
"292","Adamts8","ADAMTS8"
"293","Adamts9","ADAMTS9"
"294","Adamtsl1","ADAMTSL1"
"295","Adamtsl2","ADAMTSL2"
"296","Adamtsl3","ADAMTSL3"
"297","Adamtsl4","ADAMTSL4"
"298","Adamtsl5","ADAMTSL5"
"299","Adap1","ADAP1"
"300","Adap2","ADAP2"
"301","Adar","ADAR"
"302","Adarb1","ADARB1"
"303","Adarb2","ADARB2"
"304","Adat1","ADAT1"
"305","Adat2","ADAT2"
"306","Adat3","ADAT3"
"307","Adck1","ADCK1"
"308","Adck2","ADCK2"
"309","Adck5","ADCK5"
"310","Adcy1","ADCY1"
"311","Adcy10","ADCY10"
"312","Adcy2","ADCY2"
"313","Adcy3","ADCY3"
"314","Adcy4","ADCY4"
"315","Adcy5","ADCY5"
"316","Adcy6","ADCY6"
"317","Adcy7","ADCY7"
"318","Adcy8","ADCY8"
"319","Adcy9","ADCY9"
"320","Adcyap1","ADCYAP1"
"321","Adcyap1r1","ADCYAP1R1"
"322","Add1","ADD1"
"323","Add2","ADD2"
"324","Add3","ADD3"
"325","Adgb","ADGB"
"326","Adgra1","ADGRA1"
"327","Adgra2","ADGRA2"
"328","Adgra3","ADGRA3"
"329","Adgrb1","ADGRB1"
"330","Adgrb2","ADGRB2"
"331","Adgrb3","ADGRB3"
"332","Adgrd1","ADGRD1"
"333","Adgre1","ADGRE1"
"334","Adgre4","ADGRE4P"
"335","Adgre5","ADGRE5"
"336","Adgrf1","ADGRF1"
"337","Adgrf2","ADGRF2"
"338","Adgrf3","ADGRF3"
"339","Adgrf4","ADGRF4"
"340","Adgrf5","ADGRF5"
"341","Adgrg1","ADGRG1"
"342","Adgrg2","ADGRG2"
"343","Adgrg3","ADGRG3"
"344","Adgrg4","ADGRG4"
"345","Adgrg5","ADGRG5"
"346","Adgrg6","ADGRG6"
"347","Adgrg7","ADGRG7"
"348","Adgrl1","ADGRL1"
"349","Adgrl2","ADGRL2"
"350","Adgrl3","ADGRL3"
"351","Adgrl4","ADGRL4"
"352","Adgrv1","ADGRV1"
"353","Adh1","ADH1A"
"354","Adh1","ADH1B"
"355","Adh1","ADH1C"
"356","Adh4","ADH4"
"357","Adh5","ADH5"
"358","Adh7","ADH7"
"359","Adhfe1","ADHFE1"
"360","Adi1","ADI1"
"361","Adig","ADIG"
"362","Adipoq","ADIPOQ"
"363","Adipor1","ADIPOR1"
"364","Adipor2","ADIPOR2"
"365","Adk","ADK"
"366","Adm","ADM"
"367","Adm2","ADM2"
"368","Adnp","ADNP"
"369","Adnp2","ADNP2"
"370","Ado","ADO"
"371","Adora1","ADORA1"
"372","Adora2a","ADORA2A"
"373","Adora2b","ADORA2B"
"374","Adora3","ADORA3"
"375","Adpgk","ADPGK"
"376","Adprh","ADPRH"
"377","Adprhl1","ADPRHL1"
"378","Adprhl2","ADPRHL2"
"379","Adprm","ADPRM"
"380","Adra1a","ADRA1A"
"381","Adra1b","ADRA1B"
"382","Adra1d","ADRA1D"
"383","Adra2a","ADRA2A"
"384","Adra2b","ADRA2B"
"385","Adra2c","ADRA2C"
"386","Adrb1","ADRB1"
"387","Adrb2","ADRB2"
"388","Adrb3","ADRB3"
"389","Adrm1","ADRM1"
"390","Adsl","ADSL"
"391","Adss","ADSS"
"392","Adssl1","ADSSL1"
"393","Adtrp","ADTRP"
"394","Aebp1","AEBP1"
"395","Aebp2","AEBP2"
"396","Aen","AEN"
"397","Aes","AES"
"398","Afap1","AFAP1"
"399","Afap1l1","AFAP1L1"
"400","Afap1l2","AFAP1L2"
"401","Afdn","AFDN"
"402","Aff1","AFF1"
"403","Aff2","AFF2"
"404","Aff3","AFF3"
"405","Aff4","AFF4"
"406","Afg1l","AFG1L"
"407","Afg3l1","AFG3L1P"
"408","Afg3l2","AFG3L2"
"409","Afm","AFM"
"410","Afmid","AFMID"
"411","Afp","AFP"
"412","Aftph","AFTPH"
"413","Aga","AGA"
"414","Agap1","AGAP1"
"415","Agap2","AGAP2"
"416","Agap3","AGAP3"
"417","Agbl1","AGBL1"
"418","Agbl2","AGBL2"
"419","Agbl3","AGBL3"
"420","Agbl4","AGBL4"
"421","Agbl5","AGBL5"
"422","Ager","AGER"
"423","Agfg1","AGFG1"
"424","Agfg2","AGFG2"
"425","Aggf1","AGGF1"
"426","Agk","AGK"
"427","Agl","AGL"
"428","Agmat","AGMAT"
"429","Agmo","AGMO"
"430","Ago1","AGO1"
"431","Ago2","AGO2"
"432","Ago3","AGO3"
"433","Ago4","AGO4"
"434","Agpat1","AGPAT1"
"435","Agpat2","AGPAT2"
"436","Agpat3","AGPAT3"
"437","Agpat4","AGPAT4"
"438","Agpat5","AGPAT5"
"439","Agps","AGPS"
"440","Agr2","AGR2"
"441","Agr3","AGR3"
"442","Agrn","AGRN"
"443","Agrp","AGRP"
"444","Agt","AGT"
"445","Agtpbp1","AGTPBP1"
"446","Agtr1b","AGTR1"
"447","Agtr2","AGTR2"
"448","Agtrap","AGTRAP"
"449","Agxt","AGXT"
"450","Agxt2","AGXT2"
"451","Ahctf1","AHCTF1"
"452","Ahcy","AHCY"
"453","Ahcyl1","AHCYL1"
"454","Ahcyl2","AHCYL2"
"455","Ahdc1","AHDC1"
"456","Ahi1","AHI1"
"457","Ahnak","AHNAK"
"458","Ahnak2","AHNAK2"
"459","Ahr","AHR"
"460","Ahrr","AHRR"
"461","Ahsa1","AHSA1"
"462","Ahsa2","AHSA2P"
"463","Ahsg","AHSG"
"464","Ahsp","AHSP"
"465","Aicda","AICDA"
"466","Aida","AIDA"
"467","Aif1","AIF1"
"468","Aif1l","AIF1L"
"469","Aifm1","AIFM1"
"470","Aifm2","AIFM2"
"471","Aifm3","AIFM3"
"472","Aig1","AIG1"
"473","Aim2","AIM2"
"474","Aimp1","AIMP1"
"475","Aimp2","AIMP2"
"476","Aip","AIP"
"477","Aipl1","AIPL1"
"478","Aire","AIRE"
"479","Airn","AIRN"
"480","Ajap1","AJAP1"
"481","Ajm1","AJM1"
"482","Ajuba","AJUBA"
"483","Ak1","AK1"
"484","Ak2","AK2"
"485","Ak3","AK3"
"486","Ak4","AK4"
"487","Ak5","AK5"
"488","Ak6","AK6"
"489","Ak7","AK7"
"490","Ak8","AK8"
"491","Ak9","AK9"
"492","Akain1","AKAIN1"
"493","Akap1","AKAP1"
"494","Akap10","AKAP10"
"495","Akap11","AKAP11"
"496","Akap12","AKAP12"
"497","Akap13","AKAP13"
"498","Akap14","AKAP14"
"499","Akap17b","AKAP17BP"
"500","Akap2","AKAP2"
"501","Akap3","AKAP3"
"502","Akap4","AKAP4"
"503","Akap5","AKAP5"
"504","Akap6","AKAP6"
"505","Akap7","AKAP7"
"506","Akap8","AKAP8"
"507","Akap8l","AKAP8L"
"508","Akap9","AKAP9"
"509","Akip1","AKIP1"
"510","Akirin1","AKIRIN1"
"511","Akirin2","AKIRIN2"
"512","Akna","AKNA"
"513","Aknad1","AKNAD1"
"514","Akr1a1","AKR1A1"
"515","Akr1b3","AKR1B1"
"516","Akr1b10","AKR1B10"
"517","Akr1b7","AKR1B10"
"518","Akr1b8","AKR1B10"
"519","Akr1b10","AKR1B15"
"520","Akr1b7","AKR1B15"
"521","Akr1b8","AKR1B15"
"522","Akr1c21","AKR1C1"
"523","Akr1c21","AKR1C2"
"524","Akr1c18","AKR1C3"
"525","Akr1c6","AKR1C4"
"526","Akr1d1","AKR1D1"
"527","Akr1e1","AKR1E2"
"528","Akr7a5","AKR7A2"
"529","Akr7a5","AKR7A3"
"530","Akt1","AKT1"
"531","Akt1s1","AKT1S1"
"532","Akt2","AKT2"
"533","Akt3","AKT3"
"534","Aktip","AKTIP"
"535","Alad","ALAD"
"536","Alas1","ALAS1"
"537","Alas2","ALAS2"
"538","Alb","ALB"
"539","Alcam","ALCAM"
"540","Aldh16a1","ALDH16A1"
"541","Aldh18a1","ALDH18A1"
"542","Aldh1a1","ALDH1A1"
"543","Aldh1a7","ALDH1A1"
"544","Aldh1a2","ALDH1A2"
"545","Aldh1a3","ALDH1A3"
"546","Aldh1b1","ALDH1B1"
"547","Aldh1l1","ALDH1L1"
"548","Aldh1l2","ALDH1L2"
"549","Aldh2","ALDH2"
"550","Aldh3a1","ALDH3A1"
"551","Aldh3a2","ALDH3A2"
"552","Aldh3b1","ALDH3B1"
"553","Aldh3b2","ALDH3B2"
"554","Aldh3b3","ALDH3B2"
"555","Aldh4a1","ALDH4A1"
"556","Aldh5a1","ALDH5A1"
"557","Aldh6a1","ALDH6A1"
"558","Aldh7a1","ALDH7A1"
"559","Aldh8a1","ALDH8A1"
"560","Aldh9a1","ALDH9A1"
"561","Aldoa","ALDOA"
"562","Aldob","ALDOB"
"563","Aldoc","ALDOC"
"564","Alg1","ALG1"
"565","Alg10b","ALG10"
"566","Alg10b","ALG10B"
"567","Alg11","ALG11"
"568","Alg12","ALG12"
"569","Alg13","ALG13"
"570","Alg14","ALG14"
"571","Alg2","ALG2"
"572","Alg3","ALG3"
"573","Alg5","ALG5"
"574","Alg6","ALG6"
"575","Alg8","ALG8"
"576","Alg9","ALG9"
"577","Alk","ALK"
"578","Alkal1","ALKAL1"
"579","Alkal2","ALKAL2"
"580","Alkbh1","ALKBH1"
"581","Alkbh2","ALKBH2"
"582","Alkbh3","ALKBH3"
"583","Alkbh4","ALKBH4"
"584","Alkbh5","ALKBH5"
"585","Alkbh6","ALKBH6"
"586","Alkbh7","ALKBH7"
"587","Alkbh8","ALKBH8"
"588","Allc","ALLC"
"589","Alms1","ALMS1"
"590","Alox12","ALOX12"
"591","Alox12b","ALOX12B"
"592","Alox15","ALOX15"
"593","Alox8","ALOX15B"
"594","Alox5","ALOX5"
"595","Alox5ap","ALOX5AP"
"596","Aloxe3","ALOXE3"
"597","Akp3","ALPG"
"598","Alpi","ALPG"
"599","Alppl2","ALPG"
"600","Akp3","ALPI"
"601","Alpi","ALPI"
"602","Alppl2","ALPI"
"603","Alpk1","ALPK1"
"604","Alpk2","ALPK2"
"605","Alpk3","ALPK3"
"606","Alpl","ALPL"
"607","Akp3","ALPP"
"608","Alpi","ALPP"
"609","Alppl2","ALPP"
"610","Als2","ALS2"
"611","Als2cl","ALS2CL"
"612","Als2cr12","ALS2CR12"
"613","Alx1","ALX1"
"614","Alx3","ALX3"
"615","Alx4","ALX4"
"616","Alyref","ALYREF"
"617","Amacr","AMACR"
"618","Ambn","AMBN"
"619","Ambp","AMBP"
"620","Ambra1","AMBRA1"
"621","Amd1","AMD1"
"622","Amdhd1","AMDHD1"
"623","Amdhd2","AMDHD2"
"624","Amelx","AMELX"
"625","Amelx","AMELY"
"626","Amer1","AMER1"
"627","Amer2","AMER2"
"628","Amer3","AMER3"
"629","Amfr","AMFR"
"630","Amh","AMH"
"631","Amhr2","AMHR2"
"632","Amigo1","AMIGO1"
"633","Amigo2","AMIGO2"
"634","Amigo3","AMIGO3"
"635","Ammecr1","AMMECR1"
"636","Ammecr1l","AMMECR1L"
"637","Amn","AMN"
"638","Amn1","AMN1"
"639","Amot","AMOT"
"640","Amotl1","AMOTL1"
"641","Amotl2","AMOTL2"
"642","Ampd1","AMPD1"
"643","Ampd2","AMPD2"
"644","Ampd3","AMPD3"
"645","Amph","AMPH"
"646","Amt","AMT"
"647","Amtn","AMTN"
"648","Amy1","AMY1A"
"649","Amy2a1","AMY1A"
"650","Amy2a2","AMY1A"
"651","Amy2a3","AMY1A"
"652","Amy2a4","AMY1A"
"653","Amy2a5","AMY1A"
"654","Amy1","AMY1B"
"655","Amy2a1","AMY1B"
"656","Amy2a2","AMY1B"
"657","Amy2a3","AMY1B"
"658","Amy2a4","AMY1B"
"659","Amy2a5","AMY1B"
"660","Amy1","AMY1C"
"661","Amy2a1","AMY1C"
"662","Amy2a2","AMY1C"
"663","Amy2a3","AMY1C"
"664","Amy2a4","AMY1C"
"665","Amy2a5","AMY1C"
"666","Amy1","AMY2A"
"667","Amy2a1","AMY2A"
"668","Amy2a2","AMY2A"
"669","Amy2a3","AMY2A"
"670","Amy2a4","AMY2A"
"671","Amy2a5","AMY2A"
"672","Amy1","AMY2B"
"673","Amy2a1","AMY2B"
"674","Amy2a2","AMY2B"
"675","Amy2a3","AMY2B"
"676","Amy2a4","AMY2B"
"677","Amy2a5","AMY2B"
"678","Amz1","AMZ1"
"679","Amz2","AMZ2"
"680","Anapc1","ANAPC1"
"681","Anapc10","ANAPC10"
"682","Anapc11","ANAPC11"
"683","Anapc13","ANAPC13"
"684","Anapc15","ANAPC15"
"685","Anapc16","ANAPC16"
"686","Anapc2","ANAPC2"
"687","Anapc4","ANAPC4"
"688","Anapc5","ANAPC5"
"689","Anapc7","ANAPC7"
"690","Ang","ANG"
"691","Angel1","ANGEL1"
"692","Angel2","ANGEL2"
"693","Angpt1","ANGPT1"
"694","Angpt2","ANGPT2"
"695","Angpt4","ANGPT4"
"696","Angptl1","ANGPTL1"
"697","Angptl2","ANGPTL2"
"698","Angptl3","ANGPTL3"
"699","Angptl4","ANGPTL4"
"700","Angptl6","ANGPTL6"
"701","Angptl7","ANGPTL7"
"702","Angptl8","ANGPTL8"
"703","Ank1","ANK1"
"704","Ank2","ANK2"
"705","Ank3","ANK3"
"706","Ankar","ANKAR"
"707","Ankdd1a","ANKDD1A"
"708","Ankdd1b","ANKDD1B"
"709","Ankef1","ANKEF1"
"710","Ankfn1","ANKFN1"
"711","Ankfy1","ANKFY1"
"712","Ank","ANKH"
"713","Ankhd1","ANKHD1"
"714","Ankhd1","ANKHD1-EIF4EBP3"
"715","Ankib1","ANKIB1"
"716","Ankk1","ANKK1"
"717","Ankle1","ANKLE1"
"718","Ankle2","ANKLE2"
"719","Ankmy1","ANKMY1"
"720","Ankmy2","ANKMY2"
"721","Ankra2","ANKRA2"
"722","Ankrd1","ANKRD1"
"723","Ankrd10","ANKRD10"
"724","Ankrd11","ANKRD11"
"725","Ankrd12","ANKRD12"
"726","Ankrd13a","ANKRD13A"
"727","Ankrd13b","ANKRD13B"
"728","Ankrd13c","ANKRD13C"
"729","Ankrd13d","ANKRD13D"
"730","Ankrd16","ANKRD16"
"731","Ankrd17","ANKRD17"
"732","Ankrd2","ANKRD2"
"733","Ankrd22","ANKRD22"
"734","Ankrd23","ANKRD23"
"735","Ankrd24","ANKRD24"
"736","Ankrd26","ANKRD26"
"737","Ankrd27","ANKRD27"
"738","Ankrd28","ANKRD28"
"739","Ankrd29","ANKRD29"
"740","Ankrd31","ANKRD31"
"741","Ankrd33","ANKRD33"
"742","Ankrd33b","ANKRD33B"
"743","Ankrd34a","ANKRD34A"
"744","Ankrd34b","ANKRD34B"
"745","Ankrd34c","ANKRD34C"
"746","Ankrd35","ANKRD35"
"747","Ankrd37","ANKRD37"
"748","Ankrd39","ANKRD39"
"749","Ankrd40","ANKRD40"
"750","Gm21885","ANKRD40CL"
"751","Ankrd42","ANKRD42"
"752","Ankrd44","ANKRD44"
"753","Ankrd45","ANKRD45"
"754","Ankrd46","ANKRD46"
"755","Ankrd49","ANKRD49"
"756","Ankrd50","ANKRD50"
"757","Ankrd52","ANKRD52"
"758","Ankrd53","ANKRD53"
"759","Ankrd54","ANKRD54"
"760","Ankrd55","ANKRD55"
"761","Ankrd6","ANKRD6"
"762","Ankrd60","ANKRD60"
"763","Ankrd61","ANKRD61"
"764","Ankrd63","ANKRD63"
"765","Ankrd65","ANKRD65"
"766","Ankrd66","ANKRD66"
"767","Ankrd7","ANKRD7"
"768","Ankrd9","ANKRD9"
"769","Anks1","ANKS1A"
"770","Anks1b","ANKS1B"
"771","Anks3","ANKS3"
"772","Anks4b","ANKS4B"
"773","Anks6","ANKS6"
"774","Ankub1","ANKUB1"
"775","Ankzf1","ANKZF1"
"776","Anln","ANLN"
"777","Ano1","ANO1"
"778","Ano10","ANO10"
"779","Ano2","ANO2"
"780","Ano3","ANO3"
"781","Ano4","ANO4"
"782","Ano5","ANO5"
"783","Ano6","ANO6"
"784","Ano7","ANO7"
"785","Ano8","ANO8"
"786","Ano9","ANO9"
"787","Anp32a","ANP32A"
"788","Anp32b","ANP32B"
"789","Anp32e","ANP32E"
"790","Anpep","ANPEP"
"791","Antxr1","ANTXR1"
"792","Antxr2","ANTXR2"
"793","Antxrl","ANTXRL"
"794","Anxa1","ANXA1"
"795","Anxa10","ANXA10"
"796","Anxa11","ANXA11"
"797","Anxa13","ANXA13"
"798","Anxa2","ANXA2"
"799","Anxa3","ANXA3"
"800","Anxa4","ANXA4"
"801","Anxa5","ANXA5"
"802","Anxa6","ANXA6"
"803","Anxa7","ANXA7"
"804","Anxa8","ANXA8"
"805","Anxa8","ANXA8L1"
"806","Anxa9","ANXA9"
"807","Aoah","AOAH"
"808","Aoc1","AOC1"
"809","Aoc2","AOC2"
"810","Aoc3","AOC3"
"811","Aox1","AOX1"
"812","Aox3","AOX3P"
"813","Ap1ar","AP1AR"
"814","Ap1b1","AP1B1"
"815","Ap1g1","AP1G1"
"816","Ap1g2","AP1G2"
"817","Ap1m1","AP1M1"
"818","Ap1m2","AP1M2"
"819","Ap1s1","AP1S1"
"820","Ap1s2","AP1S2"
"821","Ap1s3","AP1S3"
"822","Ap2a1","AP2A1"
"823","Ap2a2","AP2A2"
"824","Ap2b1","AP2B1"
"825","Ap2m1","AP2M1"
"826","Ap2s1","AP2S1"
"827","Ap3b1","AP3B1"
"828","Ap3b2","AP3B2"
"829","Ap3d1","AP3D1"
"830","Ap3m1","AP3M1"
"831","Ap3m2","AP3M2"
"832","Ap3s1","AP3S1"
"833","Ap3s2","AP3S2"
"834","Ap4b1","AP4B1"
"835","Ap4e1","AP4E1"
"836","Ap4m1","AP4M1"
"837","Ap4s1","AP4S1"
"838","Ap5b1","AP5B1"
"839","Ap5m1","AP5M1"
"840","Ap5s1","AP5S1"
"841","Ap5z1","AP5Z1"
"842","Apaf1","APAF1"
"843","Apba1","APBA1"
"844","Apba2","APBA2"
"845","Apba3","APBA3"
"846","Apbb1","APBB1"
"847","Apbb1ip","APBB1IP"
"848","Apbb2","APBB2"
"849","Apbb3","APBB3"
"850","Apc","APC"
"851","Apc2","APC2"
"852","Apcdd1","APCDD1"
"853","Apcs","APCS"
"854","Apeh","APEH"
"855","Apela","APELA"
"856","Apex1","APEX1"
"857","Apex2","APEX2"
"858","Aph1a","APH1A"
"859","Aph1b","APH1B"
"860","Api5","API5"
"861","Apip","APIP"
"862","Aplf","APLF"
"863","Apln","APLN"
"864","Aplnr","APLNR"
"865","Aplp1","APLP1"
"866","Aplp2","APLP2"
"867","Apmap","APMAP"
"868","Apoa1","APOA1"
"869","Apoa2","APOA2"
"870","Apoa4","APOA4"
"871","Apoa5","APOA5"
"872","Apob","APOB"
"873","Apobec1","APOBEC1"
"874","Apobec2","APOBEC2"
"875","Apobec3","APOBEC3B"
